Company;Symbol;Valor Number;Country;Traded Currency;Trading platform;Index-member;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing
Basler Kantonalbank;BSKP;923646;CH;CHF;XSWX;SPI,SSCI,SPIEX;PC;8.50;Swiss Reporting Standard;Bank law;26.04.18;31.12.;KPMG AG - CH[501403];No;;true
Baxter International Inc.;BAX;911702;US;CHF;XSWX;;RS;1.00;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;false
BB Biotech AG;BION;3838999;CH;CHF;XSWX;SLIFE,SBIOM;RS;0.20;Investment Companies;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
BELIMO Holding AG;BEAN;150319;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;1.00;International Reporting Standard;IFRS;09.04.18;31.12.;KPMG AG - CH[501403];No;;true
Bell Food Group AG;BELL;31596632;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.50;Swiss Reporting Standard;Swiss GAAP FER;10.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Bellevue Group AG;BBN;2842210;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.10;International Reporting Standard;IFRS;20.03.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Bergbahnen Engelberg-Trübsee-Titlis AG;TIBN;21470635;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.20;Swiss Reporting Standard;Swiss GAAP FER;23.03.18;31.10.;BDO AG - CH[500705];No;;true
Berner Kantonalbank AG;BEKN;969160;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;20.00;Swiss Reporting Standard;Bank law;22.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
BFW Liegenschaften AG;BLIN;1820611;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;7.50;Real Estate Companies;IFRS;03.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
BKW AG;BKW;13029366;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;2.50;International Reporting Standard;IFRS;18.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Bobst Group SA;BOBNN;1268465;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;1.00;Swiss Reporting Standard;Swiss GAAP FER;28.03.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Bossard Holding AG;BOSN;23862714;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;5.00;Swiss Reporting Standard;Swiss GAAP FER;09.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Bucher Industries AG;BUCN;243217;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;0.20;International Reporting Standard;IFRS;18.04.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Burckhardt Compression Holding AG;BCHN;2553602;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;2.50;Swiss Reporting Standard;IFRS;06.07.18;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;true
Burkhalter Holding AG;BRKN;21225580;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.04;Swiss Reporting Standard;Swiss GAAP FER;22.05.18;31.12.;KPMG AG - CH[501403];No;;true
BVZ Holding AG;BVZN;820735;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;100.00;Swiss Reporting Standard;Swiss GAAP FER;12.04.18;31.12.;KPMG AG - CH[501403];No;;true
Calida Holding AG;CALN;12663946;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;0.10;International Reporting Standard;IFRS;18.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Carlo Gavazzi Holding AG;GAV;1100359;CH;CHF;XSWX;SPI,SSCI,SPIEX;BS;15.00;International Reporting Standard;IFRS;31.07.18;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;true
Cassiopea S.p.A.;SKIN;28252872;IT;CHF;XSWX;SPI,SSCI,SPIEX,SLIFE;RS;1.00;International Reporting Standard;IFRS;;31.12.;BDO Italia S.p.A. - IT;No;;true
Castle Alternative Invest AG;CASN;509275;CH;CHF;XSWX;;RS;5.00;Investment Companies;IFRS;15.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Castle Private Equity AG;CPEN;4885474;CH;CHF;XSWX;;RS;0.05;Investment Companies;IFRS;14.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Caterpillar Inc.;CAT;916546;US;CHF;XSWX;;RS;1.00;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;false
Cembra Money Bank AG;CMBN;22517316;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;1.00;International Reporting Standard;US GAAP;18.04.18;31.12.;KPMG AG - CH[501403];No;;true
Cham Group AG;CPGN;193185;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;65.00;Swiss Reporting Standard;Swiss GAAP FER;02.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Chocoladefabriken Lindt & Sprüngli AG;LISN;1057075;CH;CHF;XSWX;;RS;100.00;International Reporting Standard;IFRS;03.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
Chocoladefabriken Lindt & Sprüngli AG;LISP;1057076;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP;PC;10.00;International Reporting Standard;IFRS;03.05.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
CI Com SA;CIE;162581;CH;CHF;XSWX;SPI,SSCI,SPIEX;BS;20.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;BDO AG - CH[500705];No;;true
Cicor Technologies Ltd.;CICN;870219;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;10.00;Swiss Reporting Standard;Swiss GAAP FER;19.04.18;31.12.;KPMG AG - CH[501403];No;;true
Clariant AG;CLN;1214263;CH;CHF;XSWX;SPI,SMCI,SPIEX,SMIM,SMIEXP,SLI;RS;3.70;International Reporting Standard;IFRS;19.03.18;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
COLTENE Holding AG;CLTN;2534325;CH;CHF;XSWX;SPI,SSCI,SPIEX,SLIFE,SBIOM;RS;0.10;International Reporting Standard;IFRS;28.03.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Comet Holding AG;COTN;36082699;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;1.00;International Reporting Standard;IFRS;26.04.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Commerzbank AG;COM;21170377;DE;CHF;XSWX;;BS;0.00;International Reporting Standard;;;;PricewaterhouseCoopers AG, Wirtschaftsprüfungsgesellschaft - DE;No;;false
Compagnie de Saint-Gobain;GOB;490580;FR;CHF;XSWX;;BS;4.00;International Reporting Standard;;;;PricewaterhouseCoopers Audit - FR;No;;false
Compagnie Financière Richemont SA;CFR;21048333;CH;CHF;XSWX;SMI,SPI,SLCI,SMIEXP,SLI;RS;1.00;International Reporting Standard;IFRS;10.09.18;31.03.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);true
Compagnie financière Tradition S.A.;CFT;1434511;CH;CHF;XSWX;SPI,SSCI,SPIEX;BS;2.50;International Reporting Standard;IFRS;24.05.18;31.12.;Ernst & Young AG - CH[500646];No;;true
Conzzeta AG;CON;24401750;CH;CHF;XSWX;SPI,SMCI,SPIEX;RS;2.00;Swiss Reporting Standard;Swiss GAAP FER;24.04.18;31.12.;KPMG AG - CH[501403];No;;true
COSMO Pharmaceuticals N.V.;COPN;32590356;NL;CHF;XSWX;SPI,SMCI,SPIEX,SLIFE;RS;0.26;International Reporting Standard;IFRS;;31.12.;BDO Audit & Assurance BV - NL[1300031];No;;true
CPH Chemie + Papier Holding AG;CPHN;162471;CH;CHF;XSWX;SPI,SSCI,SPIEX;RS;5.00;Swiss Reporting Standard;Swiss GAAP FER;19.03.19;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;true
